step,time,0,1,2,3,4,5,6,7,
191, 2015/1/1 15:55:00,0,2,2,0,0,0,0,0,
192, 2015/1/1 16:0:00,0,2,1,0,1,0,0,0,
193, 2015/1/1 16:5:00,0,2,1,0,1,0,0,0,
194, 2015/1/1 16:10:00,0,1,1,0,1,0,1,0,
195, 2015/1/1 16:15:00,0,0,1,0,1,0,2,0,
196, 2015/1/1 16:20:00,0,1,2,0,0,0,1,0,
197, 2015/1/1 16:25:00,0,2,2,0,0,0,0,0,
198, 2015/1/1 16:30:00,0,2,1,1,0,0,0,0,
199, 2015/1/1 16:35:00,0,2,2,0,0,0,0,0,
200, 2015/1/1 16:40:00,0,2,1,1,0,0,0,0,
201, 2015/1/1 16:45:00,0,2,1,1,0,0,0,0,
202, 2015/1/1 16:50:00,0,2,2,0,0,0,0,0,
203, 2015/1/1 16:55:00,0,1,2,0,0,0,0,1,
204, 2015/1/1 17:0:00,0,2,2,0,0,0,0,0,
205, 2015/1/1 17:5:00,0,1,2,1,0,0,0,0,
206, 2015/1/1 17:10:00,0,1,2,1,0,0,0,0,
207, 2015/1/1 17:15:00,0,1,2,1,0,0,0,0,
208, 2015/1/1 17:20:00,0,1,2,1,0,0,0,0,
209, 2015/1/1 17:25:00,0,2,2,0,0,0,0,0,
210, 2015/1/1 17:30:00,0,1,2,0,1,0,0,0,
211, 2015/1/1 17:35:00,0,1,1,0,1,0,1,0,
212, 2015/1/1 17:40:00,0,1,2,0,1,0,0,0,
213, 2015/1/1 17:45:00,0,2,1,0,0,0,0,1,
214, 2015/1/1 17:50:00,0,2,1,0,0,0,0,1,
215, 2015/1/1 17:55:00,0,1,1,1,0,0,0,1,
216, 2015/1/1 18:0:00,0,1,2,1,0,0,0,0,
217, 2015/1/1 18:5:00,4,0,0,0,0,0,0,0,
218, 2015/1/1 18:10:00,4,0,0,0,0,0,0,0,
219, 2015/1/1 18:15:00,4,0,0,0,0,0,0,0,
220, 2015/1/1 18:20:00,4,0,0,0,0,0,0,0,
221, 2015/1/1 18:25:00,4,0,0,0,0,0,0,0,
222, 2015/1/1 18:30:00,4,0,0,0,0,0,0,0,
223, 2015/1/1 18:35:00,4,0,0,0,0,0,0,0,
224, 2015/1/1 18:40:00,4,0,0,0,0,0,0,0,
225, 2015/1/1 18:45:00,4,0,0,0,0,0,0,0,
226, 2015/1/1 18:50:00,4,0,0,0,0,0,0,0,
227, 2015/1/1 18:55:00,4,0,0,0,0,0,0,0,
228, 2015/1/1 19:0:00,4,0,0,0,0,0,0,0,
229, 2015/1/1 19:5:00,4,0,0,0,0,0,0,0,
230, 2015/1/1 19:10:00,4,0,0,0,0,0,0,0,
231, 2015/1/1 19:15:00,4,0,0,0,0,0,0,0,
232, 2015/1/1 19:20:00,4,0,0,0,0,0,0,0,
233, 2015/1/1 19:25:00,4,0,0,0,0,0,0,0,
234, 2015/1/1 19:30:00,4,0,0,0,0,0,0,0,
235, 2015/1/1 19:35:00,4,0,0,0,0,0,0,0,
236, 2015/1/1 19:40:00,4,0,0,0,0,0,0,0,
237, 2015/1/1 19:45:00,4,0,0,0,0,0,0,0,
238, 2015/1/1 19:50:00,4,0,0,0,0,0,0,0,
239, 2015/1/1 19:55:00,4,0,0,0,0,0,0,0,
240, 2015/1/1 20:0:00,4,0,0,0,0,0,0,0,
241, 2015/1/1 20:5:00,4,0,0,0,0,0,0,0,
242, 2015/1/1 20:10:00,4,0,0,0,0,0,0,0,
243, 2015/1/1 20:15:00,4,0,0,0,0,0,0,0,
244, 2015/1/1 20:20:00,4,0,0,0,0,0,0,0,
245, 2015/1/1 20:25:00,4,0,0,0,0,0,0,0,
246, 2015/1/1 20:30:00,4,0,0,0,0,0,0,0,
247, 2015/1/1 20:35:00,4,0,0,0,0,0,0,0,
248, 2015/1/1 20:40:00,4,0,0,0,0,0,0,0,
249, 2015/1/1 20:45:00,4,0,0,0,0,0,0,0,
250, 2015/1/1 20:50:00,4,0,0,0,0,0,0,0,
251, 2015/1/1 20:55:00,4,0,0,0,0,0,0,0,
252, 2015/1/1 21:0:00,4,0,0,0,0,0,0,0,
253, 2015/1/1 21:5:00,4,0,0,0,0,0,0,0,
254, 2015/1/1 21:10:00,4,0,0,0,0,0,0,0,
255, 2015/1/1 21:15:00,4,0,0,0,0,0,0,0,
256, 2015/1/1 21:20:00,4,0,0,0,0,0,0,0,
257, 2015/1/1 21:25:00,4,0,0,0,0,0,0,0,
258, 2015/1/1 21:30:00,4,0,0,0,0,0,0,0,
259, 2015/1/1 21:35:00,4,0,0,0,0,0,0,0,
260, 2015/1/1 21:40:00,4,0,0,0,0,0,0,0,
261, 2015/1/1 21:45:00,4,0,0,0,0,0,0,0,
262, 2015/1/1 21:50:00,4,0,0,0,0,0,0,0,
263, 2015/1/1 21:55:00,4,0,0,0,0,0,0,0,
264, 2015/1/1 22:0:00,4,0,0,0,0,0,0,0,
265, 2015/1/1 22:5:00,4,0,0,0,0,0,0,0,
266, 2015/1/1 22:10:00,4,0,0,0,0,0,0,0,
267, 2015/1/1 22:15:00,4,0,0,0,0,0,0,0,
268, 2015/1/1 22:20:00,4,0,0,0,0,0,0,0,
269, 2015/1/1 22:25:00,4,0,0,0,0,0,0,0,
270, 2015/1/1 22:30:00,4,0,0,0,0,0,0,0,
271, 2015/1/1 22:35:00,4,0,0,0,0,0,0,0,
272, 2015/1/1 22:40:00,4,0,0,0,0,0,0,0,
273, 2015/1/1 22:45:00,4,0,0,0,0,0,0,0,
274, 2015/1/1 22:50:00,4,0,0,0,0,0,0,0,
275, 2015/1/1 22:55:00,4,0,0,0,0,0,0,0,
276, 2015/1/1 23:0:00,4,0,0,0,0,0,0,0,
277, 2015/1/1 23:5:00,4,0,0,0,0,0,0,0,
278, 2015/1/1 23:10:00,4,0,0,0,0,0,0,0,
279, 2015/1/1 23:15:00,4,0,0,0,0,0,0,0,
280, 2015/1/1 23:20:00,4,0,0,0,0,0,0,0,
281, 2015/1/1 23:25:00,4,0,0,0,0,0,0,0,
282, 2015/1/1 23:30:00,4,0,0,0,0,0,0,0,
283, 2015/1/1 23:35:00,4,0,0,0,0,0,0,0,
284, 2015/1/1 23:40:00,4,0,0,0,0,0,0,0,
285, 2015/1/1 23:45:00,4,0,0,0,0,0,0,0,
286, 2015/1/1 23:50:00,4,0,0,0,0,0,0,0,
287, 2015/1/1 23:55:00,4,0,0,0,0,0,0,0,
288, 2015/1/2 0:0:00,4,0,0,0,0,0,0,0,
289, 2015/1/2 0:5:00,4,0,0,0,0,0,0,0,
290, 2015/1/2 0:10:00,4,0,0,0,0,0,0,0,
291, 2015/1/2 0:15:00,4,0,0,0,0,0,0,0,
292, 2015/1/2 0:20:00,4,0,0,0,0,0,0,0,
293, 2015/1/2 0:25:00,4,0,0,0,0,0,0,0,
294, 2015/1/2 0:30:00,4,0,0,0,0,0,0,0,
295, 2015/1/2 0:35:00,4,0,0,0,0,0,0,0,
296, 2015/1/2 0:40:00,4,0,0,0,0,0,0,0,
297, 2015/1/2 0:45:00,4,0,0,0,0,0,0,0,
298, 2015/1/2 0:50:00,4,0,0,0,0,0,0,0,
299, 2015/1/2 0:55:00,4,0,0,0,0,0,0,0,
300, 2015/1/2 1:0:00,4,0,0,0,0,0,0,0,
301, 2015/1/2 1:5:00,4,0,0,0,0,0,0,0,
302, 2015/1/2 1:10:00,4,0,0,0,0,0,0,0,
303, 2015/1/2 1:15:00,4,0,0,0,0,0,0,0,
304, 2015/1/2 1:20:00,4,0,0,0,0,0,0,0,
305, 2015/1/2 1:25:00,4,0,0,0,0,0,0,0,
306, 2015/1/2 1:30:00,4,0,0,0,0,0,0,0,
307, 2015/1/2 1:35:00,4,0,0,0,0,0,0,0,
308, 2015/1/2 1:40:00,4,0,0,0,0,0,0,0,
309, 2015/1/2 1:45:00,4,0,0,0,0,0,0,0,
310, 2015/1/2 1:50:00,4,0,0,0,0,0,0,0,
311, 2015/1/2 1:55:00,4,0,0,0,0,0,0,0,
312, 2015/1/2 2:0:00,4,0,0,0,0,0,0,0,
313, 2015/1/2 2:5:00,4,0,0,0,0,0,0,0,
314, 2015/1/2 2:10:00,4,0,0,0,0,0,0,0,
315, 2015/1/2 2:15:00,4,0,0,0,0,0,0,0,
316, 2015/1/2 2:20:00,4,0,0,0,0,0,0,0,
317, 2015/1/2 2:25:00,4,0,0,0,0,0,0,0,
318, 2015/1/2 2:30:00,4,0,0,0,0,0,0,0,
319, 2015/1/2 2:35:00,4,0,0,0,0,0,0,0,
320, 2015/1/2 2:40:00,4,0,0,0,0,0,0,0,
321, 2015/1/2 2:45:00,4,0,0,0,0,0,0,0,
322, 2015/1/2 2:50:00,4,0,0,0,0,0,0,0,
323, 2015/1/2 2:55:00,4,0,0,0,0,0,0,0,
324, 2015/1/2 3:0:00,4,0,0,0,0,0,0,0,
325, 2015/1/2 3:5:00,4,0,0,0,0,0,0,0,
326, 2015/1/2 3:10:00,4,0,0,0,0,0,0,0,
327, 2015/1/2 3:15:00,4,0,0,0,0,0,0,0,
328, 2015/1/2 3:20:00,4,0,0,0,0,0,0,0,
329, 2015/1/2 3:25:00,4,0,0,0,0,0,0,0,
330, 2015/1/2 3:30:00,4,0,0,0,0,0,0,0,
331, 2015/1/2 3:35:00,4,0,0,0,0,0,0,0,
332, 2015/1/2 3:40:00,4,0,0,0,0,0,0,0,
333, 2015/1/2 3:45:00,4,0,0,0,0,0,0,0,
334, 2015/1/2 3:50:00,4,0,0,0,0,0,0,0,
335, 2015/1/2 3:55:00,4,0,0,0,0,0,0,0,
336, 2015/1/2 4:0:00,4,0,0,0,0,0,0,0,
337, 2015/1/2 4:5:00,4,0,0,0,0,0,0,0,
338, 2015/1/2 4:10:00,4,0,0,0,0,0,0,0,
