Version Num, 1.00, 
Building Num, 1, 
Room Num, 12, 
Occupant Num, 21, 
Start Time, 2015-1-0, 
End Time, 2015-1-10, 
step,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
120, 2015/1/1 10:0:00, 2,12,1,2,2,0,2,9,11,8,4,8,9,5,9,9,6,6,4,7,9,
121, 2015/1/1 10:5:00, 2,12,1,2,2,2,2,0,11,4,4,8,11,5,3,0,6,6,4,7,0,
122, 2015/1/1 10:10:00, 2,12,1,2,2,2,11,0,11,11,4,8,11,5,3,6,6,6,0,11,12,
123, 2015/1/1 10:15:00, 2,12,1,2,2,2,11,0,11,4,4,8,11,5,3,6,6,6,0,11,12,
124, 2015/1/1 10:20:00, 2,8,1,2,2,2,12,0,11,4,4,4,5,5,3,8,6,6,0,7,12,
125, 2015/1/1 10:25:00, 2,8,1,2,2,2,12,0,11,4,4,4,5,10,10,10,6,10,0,7,6,
126, 2015/1/1 10:30:00, 1,1,1,2,2,2,12,0,11,4,4,4,5,10,10,10,6,10,0,7,6,
127, 2015/1/1 10:35:00, 1,1,6,2,2,2,3,1,6,4,4,4,5,10,10,10,6,10,0,7,6,
128, 2015/1/1 10:40:00, 1,1,1,0,2,2,3,1,6,4,4,4,5,10,10,10,6,10,0,7,7,
129, 2015/1/1 10:45:00, 1,1,1,0,2,2,3,1,6,4,4,4,5,10,10,10,4,10,7,7,7,
130, 2015/1/1 10:50:00, 1,1,9,0,2,2,3,1,9,4,4,4,5,10,10,10,4,10,7,7,7,
131, 2015/1/1 10:55:00, 1,1,9,2,2,0,3,8,9,4,4,4,5,10,10,10,4,10,7,7,7,
132, 2015/1/1 11:0:00, 1,1,9,2,2,2,3,8,9,4,4,4,5,10,10,10,4,10,11,7,7,
133, 2015/1/1 11:5:00, 1,1,9,8,2,2,3,8,9,4,11,4,5,10,10,10,4,10,7,7,7,
134, 2015/1/1 11:10:00, 1,1,9,2,2,2,3,0,9,4,11,4,5,10,10,10,4,10,7,8,7,
135, 2015/1/1 11:15:00, 1,1,9,2,2,2,6,1,9,4,8,4,5,10,10,10,4,10,7,8,7,
136, 2015/1/1 11:20:00, 1,1,9,2,2,2,6,1,9,11,0,4,5,10,10,10,4,10,7,8,7,
137, 2015/1/1 11:25:00, 1,1,9,2,2,2,6,1,9,4,0,4,5,10,10,10,4,10,7,8,7,
138, 2015/1/1 11:30:00, 1,1,9,2,2,2,6,12,9,8,0,4,5,10,10,10,5,10,7,7,7,
139, 2015/1/1 11:35:00, 1,1,9,2,0,2,6,12,9,4,0,4,5,10,10,10,6,10,1,7,7,
140, 2015/1/1 11:40:00, 1,1,12,2,0,2,6,3,4,4,0,11,5,10,10,10,6,10,1,7,7,
141, 2015/1/1 11:45:00, 1,1,8,2,0,2,6,3,4,4,0,4,0,10,10,10,6,10,1,8,0,
142, 2015/1/1 11:50:00, 1,1,8,2,0,2,3,3,4,4,0,4,0,10,10,10,6,10,7,8,0,
143, 2015/1/1 11:55:00, 11,0,4,2,0,2,3,3,4,4,0,4,0,10,10,10,6,10,7,7,0,
144, 2015/1/1 12:0:00, 11,0,4,11,0,0,3,3,3,4,0,4,0,10,10,10,6,10,7,7,0,
145, 2015/1/1 12:5:00, 11,0,1,11,0,0,3,3,3,4,0,4,0,7,0,3,6,11,7,7,0,
146, 2015/1/1 12:10:00, 11,0,1,2,0,0,3,3,0,4,0,0,0,7,0,3,6,11,7,7,0,
147, 2015/1/1 12:15:00, 1,0,1,2,0,0,3,7,0,4,0,0,0,5,0,3,6,11,7,7,0,
148, 2015/1/1 12:20:00, 1,0,1,0,0,0,3,7,0,4,0,0,0,8,0,0,0,6,7,7,0,
149, 2015/1/1 12:25:00, 0,0,1,0,0,0,3,7,0,0,0,4,0,5,0,6,0,6,7,7,0,
150, 2015/1/1 12:30:00, 0,0,0,0,0,0,3,7,0,0,0,4,0,0,0,6,0,6,7,7,0,
151, 2015/1/1 12:35:00, 0,0,0,0,0,0,3,7,0,0,0,4,0,0,0,6,0,6,7,7,0,
152, 2015/1/1 12:40:00, 0,1,0,0,0,0,3,7,3,4,0,4,0,0,0,6,0,6,12,7,0,
153, 2015/1/1 12:45:00, 0,1,0,2,2,0,3,7,3,4,0,4,0,5,0,6,0,6,11,7,0,
154, 2015/1/1 12:50:00, 1,1,0,2,2,0,3,3,3,4,0,4,0,12,0,6,0,6,11,7,7,
155, 2015/1/1 12:55:00, 1,1,0,2,2,0,3,3,6,4,4,4,0,12,0,6,6,6,11,7,7,
156, 2015/1/1 13:0:00, 1,1,0,2,2,0,6,12,6,4,4,4,0,12,0,6,6,6,11,7,7,
157, 2015/1/1 13:5:00, 1,1,0,2,2,0,6,3,6,4,4,4,0,5,0,6,6,6,1,7,8,
158, 2015/1/1 13:10:00, 1,1,0,2,2,0,4,12,8,4,4,4,0,5,5,6,6,11,1,7,8,
159, 2015/1/1 13:15:00, 1,1,0,2,2,0,4,12,3,4,0,4,0,5,5,6,6,6,1,7,7,
160, 2015/1/1 13:20:00, 1,1,0,2,2,0,6,5,3,4,0,4,5,5,5,6,6,6,2,7,0,
161, 2015/1/1 13:25:00, 1,3,0,2,2,0,6,5,3,4,0,4,5,5,5,6,6,6,2,11,0,
162, 2015/1/1 13:30:00, 1,3,0,2,2,0,6,5,3,4,0,4,5,5,5,6,6,6,2,7,0,
163, 2015/1/1 13:35:00, 1,3,0,0,2,0,6,5,3,4,0,4,5,8,5,6,6,6,6,7,0,
164, 2015/1/1 13:40:00, 1,3,1,0,2,0,6,5,3,4,4,4,5,8,8,6,6,6,6,7,7,
165, 2015/1/1 13:45:00, 1,3,0,0,2,0,6,5,3,4,4,4,5,5,5,6,6,6,6,7,11,
166, 2015/1/1 13:50:00, 1,3,0,0,2,2,6,12,3,4,4,4,5,5,5,0,11,6,6,7,0,
167, 2015/1/1 13:55:00, 1,3,0,0,2,2,6,12,3,4,4,4,5,5,5,0,2,11,8,7,0,
168, 2015/1/1 14:0:00, 1,1,0,0,2,2,6,6,3,4,4,4,5,5,5,0,6,11,8,7,0,
169, 2015/1/1 14:5:00, 1,1,5,0,5,2,6,6,3,4,4,4,5,5,11,0,6,6,8,7,0,
170, 2015/1/1 14:10:00, 1,1,5,0,5,2,6,6,3,4,4,8,5,5,5,8,6,6,8,7,0,
171, 2015/1/1 14:15:00, 1,1,1,2,5,2,6,1,0,4,4,8,5,8,5,8,6,6,12,8,0,
172, 2015/1/1 14:20:00, 1,1,1,2,5,2,6,1,0,4,4,8,5,5,5,8,6,6,11,8,0,
173, 2015/1/1 14:25:00, 1,1,9,9,5,2,6,3,9,4,4,1,5,5,5,6,6,12,4,8,9,
174, 2015/1/1 14:30:00, 1,1,9,9,2,2,4,3,9,4,4,1,5,5,5,6,6,12,5,8,9,
175, 2015/1/1 14:35:00, 1,1,9,9,2,2,4,3,9,4,4,1,5,5,5,6,1,12,5,8,9,
