step,time,0,1,2,3,4,5,6,7,8,
141, 2015/1/2 23:0:00,6,0,0,0,0,0,0,0,0,
142, 2015/1/2 23:20:00,6,0,0,0,0,0,0,0,0,
143, 2015/1/2 23:40:00,6,0,0,0,0,0,0,0,0,
144, 2015/1/3 0:0:00,6,0,0,0,0,0,0,0,0,
145, 2015/1/3 0:20:00,6,0,0,0,0,0,0,0,0,
146, 2015/1/3 0:40:00,6,0,0,0,0,0,0,0,0,
147, 2015/1/3 1:0:00,6,0,0,0,0,0,0,0,0,
148, 2015/1/3 1:20:00,6,0,0,0,0,0,0,0,0,
149, 2015/1/3 1:40:00,6,0,0,0,0,0,0,0,0,
150, 2015/1/3 2:0:00,6,0,0,0,0,0,0,0,0,
151, 2015/1/3 2:20:00,6,0,0,0,0,0,0,0,0,
152, 2015/1/3 2:40:00,6,0,0,0,0,0,0,0,0,
153, 2015/1/3 3:0:00,6,0,0,0,0,0,0,0,0,
154, 2015/1/3 3:20:00,6,0,0,0,0,0,0,0,0,
155, 2015/1/3 3:40:00,6,0,0,0,0,0,0,0,0,
156, 2015/1/3 4:0:00,6,0,0,0,0,0,0,0,0,
157, 2015/1/3 4:20:00,6,0,0,0,0,0,0,0,0,
158, 2015/1/3 4:40:00,6,0,0,0,0,0,0,0,0,
159, 2015/1/3 5:0:00,6,0,0,0,0,0,0,0,0,
160, 2015/1/3 5:20:00,6,0,0,0,0,0,0,0,0,
161, 2015/1/3 5:40:00,6,0,0,0,0,0,0,0,0,
162, 2015/1/3 6:0:00,6,0,0,0,0,0,0,0,0,
163, 2015/1/3 6:20:00,6,0,0,0,0,0,0,0,0,
164, 2015/1/3 6:40:00,6,0,0,0,0,0,0,0,0,
165, 2015/1/3 7:0:00,6,0,0,0,0,0,0,0,0,
166, 2015/1/3 7:20:00,6,0,0,0,0,0,0,0,0,
167, 2015/1/3 7:40:00,6,0,0,0,0,0,0,0,0,
168, 2015/1/3 8:0:00,6,0,0,0,0,0,0,0,0,
169, 2015/1/3 8:20:00,6,0,0,0,0,0,0,0,0,
170, 2015/1/3 8:40:00,6,0,0,0,0,0,0,0,0,
171, 2015/1/3 9:0:00,6,0,0,0,0,0,0,0,0,
172, 2015/1/3 9:20:00,6,0,0,0,0,0,0,0,0,
173, 2015/1/3 9:40:00,6,0,0,0,0,0,0,0,0,
174, 2015/1/3 10:0:00,6,0,0,0,0,0,0,0,0,
175, 2015/1/3 10:20:00,6,0,0,0,0,0,0,0,0,
176, 2015/1/3 10:40:00,6,0,0,0,0,0,0,0,0,
177, 2015/1/3 11:0:00,6,0,0,0,0,0,0,0,0,
178, 2015/1/3 11:20:00,6,0,0,0,0,0,0,0,0,
179, 2015/1/3 11:40:00,6,0,0,0,0,0,0,0,0,
180, 2015/1/3 12:0:00,6,0,0,0,0,0,0,0,0,
181, 2015/1/3 12:20:00,6,0,0,0,0,0,0,0,0,
182, 2015/1/3 12:40:00,6,0,0,0,0,0,0,0,0,
183, 2015/1/3 13:0:00,6,0,0,0,0,0,0,0,0,
184, 2015/1/3 13:20:00,6,0,0,0,0,0,0,0,0,
185, 2015/1/3 13:40:00,6,0,0,0,0,0,0,0,0,
186, 2015/1/3 14:0:00,6,0,0,0,0,0,0,0,0,
187, 2015/1/3 14:20:00,6,0,0,0,0,0,0,0,0,
188, 2015/1/3 14:40:00,6,0,0,0,0,0,0,0,0,
189, 2015/1/3 15:0:00,6,0,0,0,0,0,0,0,0,
190, 2015/1/3 15:20:00,6,0,0,0,0,0,0,0,0,
191, 2015/1/3 15:40:00,6,0,0,0,0,0,0,0,0,
192, 2015/1/3 16:0:00,6,0,0,0,0,0,0,0,0,
193, 2015/1/3 16:20:00,6,0,0,0,0,0,0,0,0,
194, 2015/1/3 16:40:00,6,0,0,0,0,0,0,0,0,
195, 2015/1/3 17:0:00,6,0,0,0,0,0,0,0,0,
196, 2015/1/3 17:20:00,6,0,0,0,0,0,0,0,0,
197, 2015/1/3 17:40:00,6,0,0,0,0,0,0,0,0,
198, 2015/1/3 18:0:00,6,0,0,0,0,0,0,0,0,
199, 2015/1/3 18:20:00,6,0,0,0,0,0,0,0,0,
200, 2015/1/3 18:40:00,6,0,0,0,0,0,0,0,0,
201, 2015/1/3 19:0:00,6,0,0,0,0,0,0,0,0,
202, 2015/1/3 19:20:00,6,0,0,0,0,0,0,0,0,
203, 2015/1/3 19:40:00,6,0,0,0,0,0,0,0,0,
204, 2015/1/3 20:0:00,6,0,0,0,0,0,0,0,0,
205, 2015/1/3 20:20:00,6,0,0,0,0,0,0,0,0,
206, 2015/1/3 20:40:00,6,0,0,0,0,0,0,0,0,
207, 2015/1/3 21:0:00,6,0,0,0,0,0,0,0,0,
208, 2015/1/3 21:20:00,6,0,0,0,0,0,0,0,0,
209, 2015/1/3 21:40:00,6,0,0,0,0,0,0,0,0,
210, 2015/1/3 22:0:00,6,0,0,0,0,0,0,0,0,
211, 2015/1/3 22:20:00,6,0,0,0,0,0,0,0,0,
212, 2015/1/3 22:40:00,6,0,0,0,0,0,0,0,0,
213, 2015/1/3 23:0:00,6,0,0,0,0,0,0,0,0,
214, 2015/1/3 23:20:00,6,0,0,0,0,0,0,0,0,
215, 2015/1/3 23:40:00,6,0,0,0,0,0,0,0,0,
216, 2015/1/4 0:0:00,6,0,0,0,0,0,0,0,0,
217, 2015/1/4 0:20:00,6,0,0,0,0,0,0,0,0,
218, 2015/1/4 0:40:00,6,0,0,0,0,0,0,0,0,
219, 2015/1/4 1:0:00,6,0,0,0,0,0,0,0,0,
220, 2015/1/4 1:20:00,6,0,0,0,0,0,0,0,0,
221, 2015/1/4 1:40:00,6,0,0,0,0,0,0,0,0,
222, 2015/1/4 2:0:00,6,0,0,0,0,0,0,0,0,
223, 2015/1/4 2:20:00,6,0,0,0,0,0,0,0,0,
224, 2015/1/4 2:40:00,6,0,0,0,0,0,0,0,0,
225, 2015/1/4 3:0:00,6,0,0,0,0,0,0,0,0,
226, 2015/1/4 3:20:00,6,0,0,0,0,0,0,0,0,
227, 2015/1/4 3:40:00,6,0,0,0,0,0,0,0,0,
228, 2015/1/4 4:0:00,6,0,0,0,0,0,0,0,0,
229, 2015/1/4 4:20:00,6,0,0,0,0,0,0,0,0,
230, 2015/1/4 4:40:00,6,0,0,0,0,0,0,0,0,
231, 2015/1/4 5:0:00,6,0,0,0,0,0,0,0,0,
232, 2015/1/4 5:20:00,6,0,0,0,0,0,0,0,0,
233, 2015/1/4 5:40:00,6,0,0,0,0,0,0,0,0,
234, 2015/1/4 6:0:00,6,0,0,0,0,0,0,0,0,
235, 2015/1/4 6:20:00,6,0,0,0,0,0,0,0,0,
236, 2015/1/4 6:40:00,6,0,0,0,0,0,0,0,0,
237, 2015/1/4 7:0:00,6,0,0,0,0,0,0,0,0,
238, 2015/1/4 7:20:00,6,0,0,0,0,0,0,0,0,
239, 2015/1/4 7:40:00,6,0,0,0,0,0,0,0,0,
240, 2015/1/4 8:0:00,6,0,0,0,0,0,0,0,0,
241, 2015/1/4 8:20:00,6,0,0,0,0,0,0,0,0,
242, 2015/1/4 8:40:00,6,0,0,0,0,0,0,0,0,
243, 2015/1/4 9:0:00,6,0,0,0,0,0,0,0,0,
244, 2015/1/4 9:20:00,6,0,0,0,0,0,0,0,0,
245, 2015/1/4 9:40:00,6,0,0,0,0,0,0,0,0,
246, 2015/1/4 10:0:00,6,0,0,0,0,0,0,0,0,
